2022-10-2 23:38:10 INFO  openCart:29 - Username provided
2022-10-2 23:38:11 INFO  openCart:32 - Password provided
2022-10-2 23:38:19 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:38:19 INFO  openCart:43 - Login Passed
2022-10-2 23:38:20 INFO  openCart:29 - Username provided
2022-10-2 23:38:20 INFO  openCart:32 - Password provided
2022-10-2 23:38:20 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:38:20 INFO  openCart:43 - Login Passed
2022-10-2 23:38:21 INFO  openCart:29 - Username provided
2022-10-2 23:38:21 INFO  openCart:32 - Password provided
2022-10-2 23:38:21 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:38:21 INFO  openCart:43 - Login Passed
2022-10-2 23:41:54 INFO  openCart:29 - Username provided
2022-10-2 23:41:54 INFO  openCart:32 - Password provided
2022-10-2 23:42:02 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:42:02 INFO  openCart:43 - Login Passed
2022-10-2 23:42:12 INFO  openCart:29 - Username provided
2022-10-2 23:42:12 INFO  openCart:32 - Password provided
2022-10-2 23:42:22 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:42:22 INFO  openCart:43 - Login Passed
2022-10-2 23:42:32 INFO  openCart:29 - Username provided
2022-10-2 23:42:32 INFO  openCart:32 - Password provided
2022-10-2 23:42:41 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:42:41 INFO  openCart:43 - Login Passed
2022-10-2 23:45:49 INFO  openCart:29 - Username provided
2022-10-2 23:45:49 INFO  openCart:32 - Password provided
2022-10-2 23:45:56 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:46:06 INFO  openCart:29 - Username provided
2022-10-2 23:46:06 INFO  openCart:32 - Password provided
2022-10-2 23:46:15 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:46:25 INFO  openCart:29 - Username provided
2022-10-2 23:46:25 INFO  openCart:32 - Password provided
2022-10-2 23:46:34 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:52:01 INFO  openCart:29 - Username provided
2022-10-2 23:52:01 INFO  openCart:32 - Password provided
2022-10-2 23:52:08 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:52:18 INFO  openCart:29 - Username provided
2022-10-2 23:52:18 INFO  openCart:32 - Password provided
2022-10-2 23:52:23 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:55:57 INFO  openCart:29 - Username provided
2022-10-2 23:55:57 INFO  openCart:32 - Password provided
2022-10-2 23:56:03 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:56:14 INFO  openCart:29 - Username provided
2022-10-2 23:56:14 INFO  openCart:32 - Password provided
2022-10-2 23:56:18 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:57:54 INFO  openCart:29 - Username provided
2022-10-2 23:57:54 INFO  openCart:32 - Password provided
2022-10-2 23:58:01 INFO  openCart:35 - Login Button Clicked
2022-10-2 23:58:11 INFO  openCart:29 - Username provided
2022-10-2 23:58:11 INFO  openCart:32 - Password provided
2022-10-2 23:58:16 INFO  openCart:35 - Login Button Clicked
2022-10-3 00:01:07 INFO  openCart:29 - Username provided
2022-10-3 00:01:07 INFO  openCart:32 - Password provided
2022-10-3 00:01:14 INFO  openCart:35 - Login Button Clicked
2022-10-3 00:01:24 INFO  openCart:29 - Username provided
2022-10-3 00:01:24 INFO  openCart:32 - Password provided
2022-10-3 00:01:25 INFO  openCart:35 - Login Button Clicked
2022-10-3 00:03:59 INFO  openCart:29 - Username provided
2022-10-3 00:03:59 INFO  openCart:32 - Password provided
2022-10-3 00:04:05 INFO  openCart:35 - Login Button Clicked
2022-10-3 00:04:15 INFO  openCart:29 - Username provided
2022-10-3 00:04:15 INFO  openCart:32 - Password provided
2022-10-3 00:04:16 INFO  openCart:35 - Login Button Clicked
2022-10-3 00:10:37 INFO  openCart:29 - Username provided
2022-10-3 00:10:37 INFO  openCart:32 - Password provided
2022-10-3 00:10:43 INFO  openCart:35 - Login Button Clicked
2022-10-3 00:10:54 INFO  openCart:29 - Username provided
